OrderID,DateTime,Shift,DayType,DayOfWeek,PartySize,Category,MenuItem,ItemPrice,ItemQty,Factor
1,2019-01-01 11:30:00,Lunch,Weekday,Tuesday,4,Starter,gobi manchurian,14.0,1,1.0825082508250825
2,2019-01-01 11:30:00,Lunch,Weekday,Tuesday,4,Starter,flatbread,11.0,1,1.0825082508250825
3,2019-01-01 11:30:00,Lunch,Weekday,Tuesday,4,Vegetable specials,sarson ka saag,15.0,1,1.0825082508250825
4,2019-01-01 11:30:00,Lunch,Weekday,Tuesday,4,Vegetable specials,curry vindaloo,16.0,1,1.0825082508250825
5,2019-01-01 11:30:00,Lunch,Weekday,Tuesday,4,Breads,garlic naan,3.5,2,1.0825082508250825
6,2019-01-01 11:30:00,Lunch,Weekday,Tuesday,4,Breads,naan,2.75,2,1.0825082508250825
7,2019-01-01 11:40:00,Lunch,Weekday,Tuesday,3,Starter,spicy chicken wings,14.0,1,1.0825082508250825
8,2019-01-01 11:40:00,Lunch,Weekday,Tuesday,3,Starter,chicken triangles,14.0,1,1.0825082508250825
9,2019-01-01 11:40:00,Lunch,Weekday,Tuesday,3,Chicken specials,chicken korma,18.0,1,1.0825082508250825
10,2019-01-01 11:40:00,Lunch,Weekday,Tuesday,3,Rice specials,chicken biryani,19.0,1,1.0825082508250825
11,2019-01-01 11:40:00,Lunch,Weekday,Tuesday,3,Breads,onion kulcha,5.0,2,1.0825082508250825
12,2019-01-01 11:50:00,Lunch,Weekday,Tuesday,2,Chicken specials,chicken tikka masala,18.0,1,1.0825082508250825
13,2019-01-01 11:50:00,Lunch,Weekday,Tuesday,2,Breads,garlic naan,3.5,2,1.0825082508250825
14,2019-01-01 11:50:00,Lunch,Weekday,Tuesday,2,Desserts,gulab jamun,6.0,1,1.0825082508250825
15,2019-01-01 11:50:00,Lunch,Weekday,Tuesday,2,Desserts,malpua,8.0,1,1.0825082508250825
16,2019-01-01 11:50:00,Lunch,Weekday,Tuesday,1,Starter,chicken triangles,14.0,2,1.0825082508250825
