Recipe,Ingredient,Quantity,Serving
gobi manchurian,cauliflower,588.0,3.0
gobi manchurian,spring onion,25.0,3.0
gobi manchurian,ginger root,4.53,3.0
gobi manchurian,garlic,2.8,3.0
gobi manchurian,corn flour,21.74,3.0
gobi manchurian,all purpose flour,31.34,3.0
gobi manchurian,red chili powder,0.7,3.0
gobi manchurian,dried red chilies,1.0,3.0
gobi manchurian,oil,40.82,3.0
gobi manchurian,water,354.88,3.0
gobi manchurian,milk,15.38,3.0
flatbread,dry yeast,49.56,6.0
flatbread,warm water,224.76,6.0
flatbread,sugar,25.14,6.0
flatbread,whole wheat flour,120.66,6.0
flatbread,all purpose flour,313.48,6.0
flatbread,salt,16.42,6.0
flatbread,water,9.85,6.0
flatbread,olive oil,53.82,6.0
sarson ka saag,mustard greens,750.0,4.0
sarson ka saag,spinach,250.0,4.0
sarson ka saag,ginger root,6.8,4.0
sarson ka saag,whole green chilies,24.0,4.0
sarson ka saag,salt,6.92,4.0
sarson ka saag,oil,27.21,4.0
sarson ka saag,red chile,6.0,4.0
sarson ka saag,green onion,10.0,4.0
sarson ka saag,coriander leaves,2.07,4.0
curry vindaloo,chicken,680.38,4.0
curry vindaloo,green chilies,32.0,4.0
curry vindaloo,garlic,24.0,4.0
curry vindaloo,fresh ginger root,28.34,4.0
curry vindaloo,cayenne pepper,5.32,4.0
curry vindaloo,salt,6.92,4.0
curry vindaloo,vinegar,238.96,4.0
curry vindaloo,onion,140.0,4.0
curry vindaloo,cumin,2.07,4.0
curry vindaloo,coriander seed,1.72,4.0
curry vindaloo,black peppercorns,3.99,4.0
curry vindaloo,tomato puree,47.03,4.0
curry vindaloo,sugar,8.37,4.0
curry vindaloo,brandy,10.94,4.0
curry vindaloo,tomato,182.0,4.0
curry vindaloo,chili pepper,960.0,4.0
garlic naan,bread flour,361.98,6.0
garlic naan,yeast,7.08,6.0
garlic naan,warm water,224.76,6.0
garlic naan,sugar,50.27,6.0
garlic naan,salt,5.46,6.0
garlic naan,egg,38.0,6.0
garlic naan,nonfat milk,12.42,6.0
