Recipe,Ingredient,Quantity,Serving,Recipe Weight,Portion per Serving,Norm Quantity,Valid Norm,New Quantity
gobi manchurian,cauliflower,588.0,3.0,1086.19,362.06333333333333,0.5413417542050654,0.9999999999999999,196.0
gobi manchurian,spring onion,25.0,3.0,1086.19,362.06333333333333,0.023016231046133734,0.9999999999999999,8.333
gobi manchurian,ginger root,4.53,3.0,1086.19,362.06333333333333,0.004170541065559433,0.9999999999999999,1.51
gobi manchurian,garlic,2.8,3.0,1086.19,362.06333333333333,0.002577817877166978,0.9999999999999999,0.933
gobi manchurian,corn flour,21.74,3.0,1086.19,362.06333333333333,0.02001491451771789,0.9999999999999999,7.247
gobi manchurian,all purpose flour,31.34,3.0,1086.19,362.06333333333333,0.028853147239433247,0.9999999999999999,10.447
gobi manchurian,red chili powder,0.7,3.0,1086.19,362.06333333333333,0.0006444544692917445,0.9999999999999999,0.233
gobi manchurian,dried red chilies,1.0,3.0,1086.19,362.06333333333333,0.0009206492418453492,0.9999999999999999,0.333
gobi manchurian,oil,40.82,3.0,1086.19,362.06333333333333,0.037580902052127156,0.9999999999999999,13.607
gobi manchurian,water,354.88,3.0,1086.19,362.06333333333333,0.32672000294607756,0.9999999999999999,118.293
gobi manchurian,milk,15.38,3.0,1086.19,362.06333333333333,0.014159585339581473,0.9999999999999999,5.127
flatbread,dry yeast,49.56,6.0,813.69,135.615,0.06090771669800538,1.0,8.26
flatbread,warm water,224.76,6.0,813.69,135.615,0.27622313165947715,1.0,37.46
flatbread,sugar,25.14,6.0,813.69,135.615,0.030896287283855028,1.0,4.19
flatbread,whole wheat flour,120.66,6.0,813.69,135.615,0.1482874313313424,1.0,20.11
flatbread,all purpose flour,313.48,6.0,813.69,135.615,0.3852572847153093,1.0,52.247
flatbread,salt,16.42,6.0,813.69,135.615,0.020179675306320588,1.0,2.737
flatbread,water,9.85,6.0,813.69,135.615,0.012105347245265395,1.0,1.642
flatbread,olive oil,53.82,6.0,813.69,135.615,0.06614312576042473,1.0,8.97
sarson ka saag,mustard greens,750.0,4.0,1083.0,270.75,0.6925207756232687,1.0,187.5
sarson ka saag,spinach,250.0,4.0,1083.0,270.75,0.23084025854108955,1.0,62.5
sarson ka saag,ginger root,6.8,4.0,1083.0,270.75,0.006278855032317636,1.0,1.7
sarson ka saag,whole green chilies,24.0,4.0,1083.0,270.75,0.0221606648199446,1.0,6.0
sarson ka saag,salt,6.92,4.0,1083.0,270.75,0.0063896583564173595,1.0,1.73
