Recipe,Ingredient,Measure,Unit,Serving
gobi manchurian,cauliflower,1,medium,3-5
gobi manchurian,spring onion,1,bunch,3-5
gobi manchurian,gingerroot,9.85,ml,3-5
gobi manchurian,garlic,4.92,ml,3-5
gobi manchurian,cornflour,44.37,ml,3-5
gobi manchurian,plain flour,59.14,ml,3-5
gobi manchurian,red chili powder,1.23,ml,3-5
gobi manchurian,dried red chilies,2,,3-5
gobi manchurian,oil,44.37,ml,3-5
gobi manchurian,water,354.88,ml,3-5
gobi manchurian,milk,14.79,ml,3-5
flatbread,fast-rising active dry yeast,7.08,g package,6
flatbread,warm water,236.59,ml,6
flatbread,sugar,29.58,ml,6
flatbread,whole wheat flour,236.59,ml,6
flatbread,all-purpose flour,591.47-709.77,ml,6
flatbread,salt,14.79,ml,6
flatbread,water,9.85,ml,6
flatbread,olive oil,59.14,ml,6
sarson ka saag,mustard greens,750,g,4-6
sarson ka saag,spinach,250,g,4-6
sarson ka saag,gingerroot,14.79,ml,4-6
sarson ka saag,whole green chilies,6,,4-6
sarson ka saag,salt,,,4-6
sarson ka saag,oil,29.58,ml,4-6
sarson ka saag,red chile,4.92,ml,4-6
sarson ka saag,green onions,2,,4-6
sarson ka saag,coriander leaves,29.58,ml,4-6
curry vindaloo,chicken,680.38,g,4
curry vindaloo,green chilies,8,,4
curry vindaloo,garlic,8,clove,4
curry vindaloo,fresh ginger,28.34,g,4
curry vindaloo,cayenne pepper,14.79,ml,4
curry vindaloo,salt,,,4
curry vindaloo,vinegar,236.59,ml,4
curry vindaloo,oil,,,4
curry vindaloo,onions,2,,4
curry vindaloo,cumin,4.92,ml,4
curry vindaloo,coriander seed,4.92,ml,4
curry vindaloo,black peppercorns,4.92,ml,4
curry vindaloo,tomato puree,44.37,ml,4
curry vindaloo,sugar,9.85,ml,4
curry vindaloo,brandy,14.79,ml,4
curry vindaloo,tomatoes,2,,4
curry vindaloo,chili peppers,2,,4
garlic naan,bread flour,709.77,ml,
garlic naan,yeast,7.08,g,
garlic naan,warm water,236.59,ml,
garlic naan,sugar,59.14,ml,
